fare_id,price,currency_type,payment_method,transfers
09-23,11.75,CAD,1,
09-24,12.60,CAD,1,
09-26,17.80,CAD,1,
09-27,18.95,CAD,1,
09-28,12.35,CAD,1,
09-29,14.25,CAD,1,
09-30,17.35,CAD,1,
09-31,9.95,CAD,1,
09-32,10.80,CAD,1,
09-33,11.35,CAD,1,
09-34,12.15,CAD,1,
09-35,13.00,CAD,1,
09-37,14.45,CAD,1,
09-38,15.45,CAD,1,
09-39,16.15,CAD,1,
09-41,12.40,CAD,1,
09-42,13.60,CAD,1,
09-43,14.10,CAD,1,
09-44,11.05,CAD,1,
09-45,11.75,CAD,1,
09-46,12.95,CAD,1,
09-51,8.75,CAD,1,
09-52,10.15,CAD,1,
09-53,11.50,CAD,1,
09-54,12.65,CAD,1,
09-55,13.80,CAD,1,
09-56,11.20,CAD,1,
09-57,12.15,CAD,1,
09-58,12.50,CAD,1,
09-60,8.30,CAD,1,
09-61,8.35,CAD,1,
09-62,9.25,CAD,1,
09-63,10.35,CAD,1,
09-64,10.80,CAD,1,
09-65,11.75,CAD,1,
09-66,12.95,CAD,1,
09-67,13.50,CAD,1,
09-68,14.65,CAD,1,
09-69,14.90,CAD,1,
09-70,11.65,CAD,1,
09-71,11.85,CAD,1,
09-72,12.00,CAD,1,
09-73,12.50,CAD,1,
09-74,13.35,CAD,1,
09-75,14.25,CAD,1,
09-76,14.85,CAD,1,
09-77,6.10,CAD,1,
09-80,14.90,CAD,1,
09-81,16.80,CAD,1,
09-82,17.45,CAD,1,
09-83,19.60,CAD,1,
09-84,21.55,CAD,1,
09-85,18.50,CAD,1,
09-86,9.25,CAD,1,
09-87,10.65,CAD,1,
09-88,9.65,CAD,1,
09-89,8.30,CAD,1,
09-90,8.25,CAD,1,
09-91,6.10,CAD,1,
09-92,6.70,CAD,1,
09-93,7.85,CAD,1,
09-94,8.50,CAD,1,
09-95,9.15,CAD,1,
09-96,10.00,CAD,1,
09-97,10.70,CAD,1,
11-01,6.75,CAD,1,
11-02,6.75,CAD,1,
11-03,5.55,CAD,1,
11-04,6.40,CAD,1,
11-05,7.85,CAD,1,
11-06,8.95,CAD,1,
11-07,8.95,CAD,1,
11-08,10.30,CAD,1,
11-09,10.40,CAD,1,
11-11,5.30,CAD,1,
11-12,5.30,CAD,1,
11-13,6.60,CAD,1,
11-14,7.80,CAD,1,
11-15,8.65,CAD,1,
11-16,8.95,CAD,1,
11-17,10.05,CAD,1,
11-18,10.45,CAD,1,
11-19,7.85,CAD,1,
11-20,5.30,CAD,1,
11-21,5.60,CAD,1,
11-22,6.85,CAD,1,
11-23,7.25,CAD,1,
11-24,8.75,CAD,1,
11-26,14.00,CAD,1,
11-27,15.15,CAD,1,
11-28,16.50,CAD,1,
11-29,18.40,CAD,1,
11-30,21.55,CAD,1,
11-31,10.90,CAD,1,
11-32,8.50,CAD,1,
11-33,11.25,CAD,1,
11-34,13.45,CAD,1,
11-35,14.25,CAD,1,
11-37,15.75,CAD,1,
11-38,16.75,CAD,1,
11-39,11.35,CAD,1,
11-41,13.85,CAD,1,
11-42,15.10,CAD,1,
11-43,15.55,CAD,1,
11-44,13.10,CAD,1,
11-45,14.05,CAD,1,
11-46,15.25,CAD,1,
11-51,14.25,CAD,1,
11-52,15.20,CAD,1,
11-53,16.55,CAD,1,
11-54,17.65,CAD,1,
11-55,18.80,CAD,1,
11-56,11.30,CAD,1,
11-57,12.25,CAD,1,
11-58,12.60,CAD,1,
11-60,10.90,CAD,1,
11-61,11.20,CAD,1,
11-62,11.90,CAD,1,
11-63,12.55,CAD,1,
11-64,12.85,CAD,1,
11-65,14.05,CAD,1,
11-66,15.25,CAD,1,
11-67,15.85,CAD,1,
11-68,16.70,CAD,1,
11-69,17.20,CAD,1,
11-70,11.60,CAD,1,
11-71,11.80,CAD,1,
11-72,11.95,CAD,1,
11-73,12.45,CAD,1,
11-74,13.30,CAD,1,
11-75,14.20,CAD,1,
11-76,14.80,CAD,1,
11-77,8.95,CAD,1,
11-80,10.45,CAD,1,
11-81,12.35,CAD,1,
11-82,13.05,CAD,1,
11-83,15.20,CAD,1,
11-84,17.10,CAD,1,
11-85,14.35,CAD,1,
11-86,13.75,CAD,1,
11-87,12.15,CAD,1,
11-88,13.55,CAD,1,
11-89,10.75,CAD,1,
11-90,10.85,CAD,1,
11-91,11.80,CAD,1,
11-92,12.45,CAD,1,
11-93,13.15,CAD,1,
11-94,13.85,CAD,1,
11-95,14.35,CAD,1,
11-96,14.85,CAD,1,
11-97,15.75,CAD,1,
12-01,7.90,CAD,1,
12-02,7.90,CAD,1,
12-03,6.65,CAD,1,
12-04,7.20,CAD,1,
12-05,8.75,CAD,1,
12-06,10.05,CAD,1,
12-07,10.05,CAD,1,
12-08,11.10,CAD,1,
12-09,11.15,CAD,1,
12-11,5.30,CAD,1,
12-12,5.30,CAD,1,
12-13,5.30,CAD,1,
12-14,6.55,CAD,1,
12-15,7.90,CAD,1,
12-16,8.05,CAD,1,
12-17,8.90,CAD,1,
12-18,9.65,CAD,1,
12-19,8.75,CAD,1,
12-20,5.30,CAD,1,
12-21,5.55,CAD,1,
12-22,6.10,CAD,1,
12-23,6.40,CAD,1,
12-24,8.00,CAD,1,
12-26,13.55,CAD,1,
12-27,14.70,CAD,1,
12-28,17.20,CAD,1,
12-29,19.10,CAD,1,
12-30,22.25,CAD,1,
12-31,10.20,CAD,1,
12-32,8.25,CAD,1,
12-33,10.10,CAD,1,
12-34,14.15,CAD,1,
12-35,14.95,CAD,1,
12-37,16.45,CAD,1,
12-38,17.45,CAD,1,
12-39,10.90,CAD,1,
12-41,14.55,CAD,1,
12-42,15.80,CAD,1,
12-43,16.25,CAD,1,
12-44,14.00,CAD,1,
12-45,14.75,CAD,1,
12-46,15.95,CAD,1,
12-51,14.95,CAD,1,
12-52,15.90,CAD,1,
12-53,17.25,CAD,1,
12-54,18.35,CAD,1,
12-55,19.50,CAD,1,
12-56,12.00,CAD,1,
12-57,12.95,CAD,1,
12-58,13.30,CAD,1,
12-60,11.80,CAD,1,
12-61,11.90,CAD,1,
12-62,12.60,CAD,1,
12-63,13.25,CAD,1,
12-64,13.75,CAD,1,
12-65,14.75,CAD,1,
12-66,15.95,CAD,1,
12-67,16.55,CAD,1,
12-68,17.40,CAD,1,
12-69,17.90,CAD,1,
12-70,12.30,CAD,1,
12-71,12.50,CAD,1,
12-72,12.65,CAD,1,
12-73,13.15,CAD,1,
12-74,14.00,CAD,1,
12-75,14.90,CAD,1,
12-76,15.50,CAD,1,
